Country,Year,Question,Variable,Imp,NotAns
Peru,2005-2009,Children qualities: Religious faith,,45,55
Poland,2005-2009,Children qualities: Religious faith,,46.7,53.3
South Africa,2005-2009,Children qualities: Religious faith,,56.2,43.8
Spain,2005-2009,Children qualities: Religious faith,,11.2,88.8
Sweden,2005-2009,Children qualities: Religious faith,,6.1,93.9
Switzerland,2005-2009,Children qualities: Religious faith,,12.6,87.4
Turkey,2005-2009,Children qualities: Religious faith,,42.2,57.8
Ukraine,2005-2009,Children qualities: Religious faith,,15.6,84.4
Egypt,2005-2009,Children qualities: Religious faith,,89.8,10.2
United States,2005-2009,Children qualities: Religious faith,,50.6,49.4
Argentina,2000-2004,Children qualities: Religious faith,,43.5,56.5
Bangladesh,2000-2004,Children qualities: Religious faith,,70.1,29.9
Canada,2000-2004,Children qualities: Religious faith,,30.8,69.2
Chile,2000-2004,Children qualities: Religious faith,,40.3,59.7
India,2000-2004,Children qualities: Religious faith,,46.6,53.4
Iran,2000-2004,Children qualities: Religious faith,,70.9,29.1
Iraq,2000-2004,Children qualities: Religious faith,,92,8
Japan,2000-2004,Children qualities: Religious faith,,6.5,93.5
South Korea,2000-2004,Children qualities: Religious faith,,21.2,78.8
Kyrgyzstan,2000-2004,Children qualities: Religious faith,,22.6,77.4
Mexico,2000-2004,Children qualities: Religious faith,,53.1,46.9
Nigeria,2000-2004,Children qualities: Religious faith,,67.7,32.3
Pakistan,2000-2004,Children qualities: Religious faith,,86.2,13.8
Peru,2000-2004,Children qualities: Religious faith,,55.6,44.4
Philippines,2000-2004,Children qualities: Religious faith,,59.3,40.7
Saudi Arabia,2000-2004,Children qualities: Religious faith,,70.6,29.4
Singapore,2000-2004,Children qualities: Religious faith,,30.1,69.9
South Africa,2000-2004,Children qualities: Religious faith,,61.4,38.6
Zimbabwe,2000-2004,Children qualities: Religious faith,,74.1,25.9
Spain,2000-2004,Children qualities: Religious faith,,20.3,79.7
Sweden,2000-2004,Children qualities: Religious faith,,4.9,95.1
Turkey,2000-2004,Children qualities: Religious faith,,44.1,55.9
Egypt,2000-2004,Children qualities: Religious faith,,87.3,12.7
United States,2000-2004,Children qualities: Religious faith,,52.1,47.9
Argentina,2000-2004,Children qualities: Tolerance and respect for other people,,70.4,29.6
Bangladesh,2000-2004,Children qualities: Tolerance and respect for other people,,70.9,29.1
Canada,2000-2004,Children qualities: Tolerance and respect for other people,,80.6,19.4
Chile,2000-2004,Children qualities: Tolerance and respect for other people,,76,24
India,2000-2004,Children qualities: Tolerance and respect for other people,,72.6,27.4
Iran,2000-2004,Children qualities: Tolerance and respect for other people,,63.2,36.8
Iraq,2000-2004,Children qualities: Tolerance and respect for other people,,59,41
Japan,2000-2004,Children qualities: Tolerance and respect for other people,,77.8,22.2
South Korea,2000-2004,Children qualities: Tolerance and respect for other people,,71.2,28.8
Kyrgyzstan,2000-2004,Children qualities: Tolerance and respect for other people,,64.7,35.3
Mexico,2000-2004,Children qualities: Tolerance and respect for other people,,65.5,34.5
Nigeria,2000-2004,Children qualities: Tolerance and respect for other people,,70.6,29.4
Pakistan,2000-2004,Children qualities: Tolerance and respect for other people,,59.1,40.9
Peru,2000-2004,Children qualities: Tolerance and respect for other people,,53,47
Philippines,2000-2004,Children qualities: Tolerance and respect for other people,,72.6,27.4
Saudi Arabia,2000-2004,Children qualities: Tolerance and respect for other people,,60.1,39.9
Singapore,2000-2004,Children qualities: Tolerance and respect for other people,,56.4,43.6
South Africa,2000-2004,Children qualities: Tolerance and respect for other people,,69.8,30.2
Zimbabwe,2000-2004,Children qualities: Tolerance and respect for other people,,74.1,25.9
Spain,2000-2004,Children qualities: Tolerance and respect for other people,,78.2,21.8
Sweden,2000-2004,Children qualities: Tolerance and respect for other people,,77,23
Turkey,2000-2004,Children qualities: Tolerance and respect for other people,,92.5,7.5
Egypt,2000-2004,Children qualities: Tolerance and respect for other people,,64.3,35.7
United States,2000-2004,Children qualities: Tolerance and respect for other people,,64.6,35.4
Argentina,2000-2004,Children qualities: Imagination,,23.5,76.5
Bangladesh,2000-2004,Children qualities: Imagination,,35.6,64.4
Canada,2000-2004,Children qualities: Imagination,,33,67
Chile,2000-2004,Children qualities: Imagination,,35.7,64.3
India,2000-2004,Children qualities: Imagination,,35.3,64.7
Iran,2000-2004,Children qualities: Imagination,,28.1,71.9
Iraq,2000-2004,Children qualities: Imagination,,11,89
Japan,2000-2004,Children qualities: Imagination,,34.5,65.5
South Korea,2000-2004,Children qualities: Imagination,,33.4,66.6
Kyrgyzstan,2000-2004,Children qualities: Imagination,,37.7,62.3
Mexico,2000-2004,Children qualities: Imagination,,24.4,75.6
Nigeria,2000-2004,Children qualities: Imagination,,10.9,89.1
Pakistan,2000-2004,Children qualities: Imagination,,7.4,92.6
Peru,2000-2004,Children qualities: Imagination,,22.9,77.1
Philippines,2000-2004,Children qualities: Imagination,,13.6,86.4
Saudi Arabia,2000-2004,Children qualities: Imagination,,31.1,68.9
Singapore,2000-2004,Children qualities: Imagination,,13.5,86.5
South Africa,2000-2004,Children qualities: Imagination,,20,80
Zimbabwe,2000-2004,Children qualities: Imagination,,11.1,88.9
Spain,2000-2004,Children qualities: Imagination,,25.2,74.8
Sweden,2000-2004,Children qualities: Imagination,,40.4,59.6
Turkey,2000-2004,Children qualities: Imagination,,23,77
Egypt,2000-2004,Children qualities: Imagination,,15.4,84.6
United States,2000-2004,Children qualities: Imagination,,30,70
Argentina,2000-2004,Children qualities: Responsibility,,76.6,23.4
Bangladesh,2000-2004,Children qualities: Responsibility,,53.3,46.7
Canada,2000-2004,Children qualities: Responsibility,,77,23
Chile,2000-2004,Children qualities: Responsibility,,84.2,15.8
India,2000-2004,Children qualities: Responsibility,,63.6,36.4
Iran,2000-2004,Children qualities: Responsibility,,67.6,32.4
Iraq,2000-2004,Children qualities: Responsibility,,72,28
Japan,2000-2004,Children qualities: Responsibility,,75.7,24.3
South Korea,2000-2004,Children qualities: Responsibility,,90.7,9.3
Kyrgyzstan,2000-2004,Children qualities: Responsibility,,92.3,7.7
Mexico,2000-2004,Children qualities: Responsibility,,78.2,21.8
Nigeria,2000-2004,Children qualities: Responsibility,,76.8,23.2
Pakistan,2000-2004,Children qualities: Responsibility,,33.1,66.9
Peru,2000-2004,Children qualities: Responsibility,,50.2,49.8
Philippines,2000-2004,Children qualities: Responsibility,,78.9,21.1
Saudi Arabia,2000-2004,Children qualities: Responsibility,,64.7,35.3
Singapore,2000-2004,Children qualities: Responsibility,,56.9,43.1
South Africa,2000-2004,Children qualities: Responsibility,,83.6,16.4
Zimbabwe,2000-2004,Children qualities: Responsibility,,59.2,40.8
Spain,2000-2004,Children qualities: Responsibility,,47.6,52.4
Sweden,2000-2004,Children qualities: Responsibility,,80.1,19.9
Turkey,2000-2004,Children qualities: Responsibility,,86.9,13.1
Egypt,2000-2004,Children qualities: Responsibility,,62.7,37.3
United States,2000-2004,Children qualities: Responsibility,,50.8,49.2
Argentina,2000-2004,Children qualities: Hard work,,56.8,43.2
Bangladesh,2000-2004,Children qualities: Hard work,,58.9,41.1
Canada,2000-2004,Children qualities: Hard work,,52.7,47.3
Chile,2000-2004,Children qualities: Hard work,,25.9,74.1
India,2000-2004,Children qualities: Hard work,,85.8,14.2
Iran,2000-2004,Children qualities: Hard work,,84.9,15.1
Iraq,2000-2004,Children qualities: Hard work,,62.1,37.9
Japan,2000-2004,Children qualities: Hard work,,27.1,72.9
South Korea,2000-2004,Children qualities: Hard work,,71.6,28.4
Kyrgyzstan,2000-2004,Children qualities: Hard work,,87.3,12.7
Mexico,2000-2004,Children qualities: Hard work,,30.1,69.9
Nigeria,2000-2004,Children qualities: Hard work,,80.2,19.8
Pakistan,2000-2004,Children qualities: Hard work,,56.2,43.8
Peru,2000-2004,Children qualities: Hard work,,59.3,40.7
Philippines,2000-2004,Children qualities: Hard work,,74,26
Saudi Arabia,2000-2004,Children qualities: Hard work,,41.9,58.1
Singapore,2000-2004,Children qualities: Hard work,,63.7,36.3
South Africa,2000-2004,Children qualities: Hard work,,75.3,24.7
Zimbabwe,2000-2004,Children qualities: Hard work,,85.3,14.7
Spain,2000-2004,Children qualities: Hard work,,68.9,31.1
Sweden,2000-2004,Children qualities: Hard work,,3.9,96.1
Turkey,2000-2004,Children qualities: Hard work,,74.3,25.7
Egypt,2000-2004,Children qualities: Hard work,,38.4,61.6
United States,2000-2004,Children qualities: Hard work,,60.8,39.2
Argentina,2000-2004,Children qualities: Independence,,36.3,63.7
Bangladesh,2000-2004,Children qualities: Independence,,77.8,22.2
Canada,2000-2004,Children qualities: Independence,,62.3,37.7
Chile,2000-2004,Children qualities: Independence,,52.7,47.3
India,2000-2004,Children qualities: Independence,,74.1,25.9
Iran,2000-2004,Children qualities: Independence,,56.2,43.8
Iraq,2000-2004,Children qualities: Independence,,53.2,46.8
Japan,2000-2004,Children qualities: Independence,,28.8,71.2
South Korea,2000-2004,Children qualities: Independence,,81.8,18.2
Kyrgyzstan,2000-2004,Children qualities: Independence,,77.3,22.7
Mexico,2000-2004,Children qualities: Independence,,54.8,45.2
Nigeria,2000-2004,Children qualities: Independence,,42.3,57.7
Pakistan,2000-2004,Children qualities: Independence,,26,74
Peru,2000-2004,Children qualities: Independence,,12.6,87.4
Philippines,2000-2004,Children qualities: Independence,,38.6,61.4
Saudi Arabia,2000-2004,Children qualities: Independence,,65.7,34.3
Singapore,2000-2004,Children qualities: Independence,,70,30
South Africa,2000-2004,Children qualities: Independence,,74.7,25.3
Zimbabwe,2000-2004,Children qualities: Independence,,62.5,37.5
Spain,2000-2004,Children qualities: Independence,,26.2,73.8
Sweden,2000-2004,Children qualities: Independence,,44.4,55.6
Turkey,2000-2004,Children qualities: Independence,,68.8,31.2
Egypt,2000-2004,Children qualities: Independence,,15.7,84.3
United States,2000-2004,Children qualities: Independence,,72.6,27.4
,,,,61.1,38.9
